,autovalores
"('sourcebus.1',)",0.19513021914298212
"('sourcebus.2',)",0.24510320065306854
"('sourcebus.3',)",0.2864867759612916
"('800.1',)",0.1966446405364673
"('800.2',)",0.2470100954382137
"('800.3',)",0.2887177094416535
"('802.1',)",4.825572012350618
"('802.2',)",4.979224740408174
"('802.3',)",7.594109343110632
"('806.1',)",6.086427616547289
"('806.2',)",11.677973057677479
"('806.3',)",6.256249130482019
"('808.1',)",11.939277871082595
"('808.2',)",9.77838397269682
"('808.3',)",12.796743324386338
"('810.2',)",7.0626271090168515
"('812.1',)",7.311876497234191
"('812.2',)",11.380838131361616
"('812.3',)",10.106803328446894
"('814.1',)",12.728877544763957
"('814.2',)",10.013719714352247
"('814.3',)",15.360319049679594
"('814r.1',)",14.811044430853917
"('814r.2',)",20.08499718790144
"('814r.3',)",12.582893134866408
"('850.1',)",14.702822513977802
"('850.2',)",22.076668226234965
"('850.3',)",32.44815010862017
"('816.1',)",23.56652748701391
"('816.2',)",41.60226679195981
"('816.3',)",25.884465898935982
"('818.1',)",27.52903730681378
"('824.1',)",30.157483409575914
"('824.2',)",34.131065600563936
"('824.3',)",33.38695940674972
"('820.1',)",38.89666945482559
"('822.1',)",55.47864074597766
"('826.2',)",50.500375128971875
"('828.1',)",61.29762616405525
"('828.2',)",43.76529320395792
"('828.3',)",66.30503730047289
"('830.1',)",55.048454656696485
"('830.2',)",64.03690065796467
"('830.3',)",66.90229080378921
"('854.1',)",82.62810284656835
"('854.2',)",82.0431307398928
"('854.3',)",69.56480328328853
"('832.1',)",89.60410468594424
"('832.2',)",104.35176507784432
"('832.3',)",107.51521648834292
"('858.1',)",111.16577280106807
"('858.2',)",95.51374307442138
"('858.3',)",123.84185072644775
"('834.1',)",113.3259522736836
"('834.2',)",128.5643926475812
"('834.3',)",146.3110651740907
"('860.1',)",159.963256824477
"('860.2',)",197.03432193733804
"('860.3',)",257.04005631856256
"('842.1',)",233.51237488114862
"('842.2',)",225.12382001645707
"('842.3',)",217.95030154044795
"('836.1',)",274.1665224087798
"('836.2',)",348.4580722032941
"('836.3',)",423.47111653713256
"('840.1',)",472.9672155156136
"('840.2',)",486.6304752175816
"('840.3',)",502.9266141984214
"('862.1',)",506.31529807326046
"('862.2',)",574.9627021312663
"('862.3',)",529.7732765710316
"('844.1',)",719.6508476478554
"('844.2',)",635.5222335908471
"('844.3',)",802.4420996848816
"('846.1',)",781.1680995324788
"('846.2',)",625.0301359162887
"('846.3',)",936.771340027559
"('848.1',)",1891.7875534737952
"('848.2',)",1281.77991718143
"('848.3',)",1056.4922223134463
"('852r.1',)",1479.3075844665007
"('852r.2',)",2166.298696921931
"('852r.3',)",2265.2197468937275
"('888.1',)",21086.97378475404
"('888.2',)",3674.228971598
"('888.3',)",1102.527832086172
"('856.2',)",1394.6842876829169
"('852.1',)",26782.603437334194
"('852.2',)",3854.581125999045
"('852.3',)",8740.546117298398
"('864.1',)",2486.0512515228065
"('838.2',)",11399.351944903397
"('890.1',)",30735.122619840688
"('890.2',)",10270.460964345615
"('890.3',)",11108.111159083383
