,autovalores
"('sourcebus.1',)",0.057524184572964515
"('sourcebus.2',)",0.0799985428293428
"('sourcebus.3',)",0.05797033233780564
"('800.1',)",0.12871617852093423
"('800.2',)",0.08062287376466451
"('800.3',)",0.1297189069657116
"('802.1',)",1.4250506594944934
"('802.2',)",1.4680804634246656
"('802.3',)",2.2699350381008436
"('806.1',)",3.3658823340283
"('806.2',)",3.4419483534253406
"('806.3',)",2.0421616299470164
"('808.1',)",1.9830239360493978
"('808.2',)",3.937970706107323
"('808.3',)",3.265915458794886
"('810.2',)",2.9825672450066003
"('812.1',)",2.9529827941423634
"('812.2',)",4.912603909949404
"('812.3',)",4.61110636531628
"('814.1',)",4.14984652874787
"('814.2',)",3.1808130655023805
"('814.3',)",3.2874530841787237
"('814r.1',)",4.107561595265022
"('814r.2',)",6.4407604932118865
"('814r.3',)",6.665254051018617
"('850.1',)",7.010507597097878
"('850.2',)",6.612297378809271
"('850.3',)",7.82112238626543
"('816.1',)",12.015141405866894
"('816.2',)",9.996327565367437
"('816.3',)",9.766154255887923
"('818.1',)",10.321067773605371
"('824.1',)",10.918298845822434
"('824.2',)",15.515569771321113
"('824.3',)",17.69881206948359
"('820.1',)",17.32028367458426
"('822.1',)",12.978628106193451
"('826.2',)",19.442044490035943
"('828.1',)",15.458435278568313
"('828.2',)",19.159578700900504
"('828.3',)",17.555981754312345
"('830.1',)",18.040012206846892
"('830.2',)",25.472096984340855
"('830.3',)",26.521433148079154
"('854.1',)",31.439626469718313
"('854.2',)",32.9089285082968
"('854.3',)",32.1347799974306
"('832.1',)",28.884328218387914
"('832.2',)",41.31459852377449
"('832.3',)",37.965177354505165
"('858.1',)",29.005661921622586
"('858.2',)",35.465735124961796
"('858.3',)",39.68058578968136
"('834.1',)",49.46686270212612
"('834.2',)",47.025750959828926
"('834.3',)",53.69346371985378
"('860.1',)",61.15637246381882
"('860.2',)",71.03781965212039
"('860.3',)",84.43304836105682
"('842.1',)",101.39371810417227
"('842.2',)",95.35070770591541
"('842.3',)",109.35528804928006
"('836.1',)",118.0548699692093
"('836.2',)",125.59082469515651
"('836.3',)",129.30843374636487
"('840.1',)",145.23069363718403
"('840.2',)",159.9864791866804
"('840.3',)",167.47176316558833
"('862.1',)",198.00181052619803
"('862.2',)",190.31266938777966
"('862.3',)",221.6329016949394
"('844.1',)",217.3903742757703
"('844.2',)",214.36366257419638
"('844.3',)",264.82769900480685
"('846.1',)",279.90141582343585
"('846.2',)",300.2830252047301
"('846.3',)",433.8036167848224
"('848.1',)",539.956210950636
"('848.2',)",624.7317817360547
"('848.3',)",761.4678903121065
"('852r.1',)",650.7231370476878
"('852r.2',)",946.9289053408131
"('852r.3',)",3284.0745909718185
"('888.1',)",1338.0054754903128
"('888.2',)",347.04035852644665
"('888.3',)",3548.577482128092
"('856.2',)",15192.743113481301
"('852.1',)",17769.317755360513
"('852.2',)",4226.216925641397
"('852.3',)",375.81541768799656
"('864.1',)",368.6824187587598
"('838.2',)",1190.764228058074
"('890.1',)",6396.177728778477
"('890.2',)",24601.102687272276
"('890.3',)",1132.1236469980865
