,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.041845942901746064-0.0017362769451518614j),(-0.06312995117802818+0.00307481866099742j),(6.45006086317406e-06-2.2994044009724203e-06j),(1.0342189657249342e-30-1.2674358574213083e-30j),(-2.610613034237715e-31+1.1366066256209863e-32j),(8.995146365854485e-39-1.9026857039152725e-39j)
1,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.04184594290174602-0.0017362769451518614j),(-0.06312995117802818+0.0030748186609974165j),(6.450060863170472e-06-2.2994044009725055e-06j),(3.6613092994629914e-31-8.676626425608773e-32j),(1.51571368825939e-31+6.855459276188962e-32j),(3.159348860467986e-39-9.340069812193105e-39j)
2,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(-0.10087302198630779-0.0017390969449059962j),(0.026180052866082347-0.002800891167678102j),(6.45006086316718e-06-2.2994044009747433e-06j),(-1.4003498956705348e-30+1.3542021216783345e-30j),(1.0948993459788686e-31-7.992065901807692e-32j),(-1.215449522632205e-38+1.1242755516107954e-38j)
3,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.04184594290174605-0.001736276945151858j),(-0.06312995117802818+0.00307481866099742j),(6.4500608631710815e-06-2.299404400973679e-06j),(-1.7144838999149377e-31-3.101921574423908e-32j),(-1.8408339577518188e-31-7.67271762889178e-32j),(7.201785519067438e-39-6.996365858557322e-39j)
4,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(-0.10087302198630776-0.0017390969449059823j),(0.026180052866082344-0.002800891167678104j),(6.450060863167166e-06-2.2994044009747446e-06j),(-1.4014056949983201e-30+1.3589074659145638e-30j),(1.1238809091355014e-31-7.776878788342849e-32j),(-3.082009347188942e-39-5.247446320168774e-39j)
5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.059041218932032444+0.003481599405896388j),(0.037155301399770774-0.00024381575920709615j),(6.450060863167308e-06-2.29940440097555e-06j),(-1.8204115650846135e-30+1.4406608350244924e-30j),(-5.633278577474188e-32-1.6236308015846654e-31j),(-7.087385153954022e-39+5.197724200466828e-39j)
6,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.0418459429017461-0.0017362769451518614j),(-0.06312995117802832+0.003074818660997441j),(6.4500608631732634e-06-2.2994044009706687e-06j),(-2.6915007726873003e-30-3.3062692268225714e-30j),(-8.898776472107068e-31-5.7185048102519335e-31j),(4.3266799139403286e-35+1.0375683680400374e-35j)
7,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(-0.10087302198630786-0.00173909694490601j),(0.026180052866082458-0.002800891167678091j),(6.450060863166768e-06-2.299404400973443e-06j),(2.246058058275736e-30+4.715266867301436e-30j),(7.894114639364648e-31+2.5466923914571225e-31j),(-1.6074218521430397e-35-1.8473516063142297e-35j)
8,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.0590412189320325+0.003481599405896381j),(0.0371553013997708-0.00024381575920709962j),(6.4500608631637835e-06-2.299404400974655e-06j),(-4.148899553262287e-31+1.742579879765184e-30j),(2.792270613390079e-31+2.7129785550850034e-31j),(-2.2406439546857122e-35-3.086120382692012e-35j)
9,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.1841425873044737e-291-1.488432169737973e-291j),-0j,-0j,-0j,0j,0j,0j,-0j,-0j,(-1.1789569186760917e-291-1.4747543587160048e-291j),(-1.2046992184153354e-291-1.485625582063869e-291j),(-1.1742576701169293e-291-1.4638790261263839e-291j),(-0.027336365646803376+0.004402637322474399j),(0.2429657550301853+0j),(0.015974974718604554-0.008315024751663996j),(-3.844140931770844e-15-5.1131880308391675e-15j),(-1.1499730904244157e-16+2.578774039222306e-15j),(-7.670978491906131e-19+3.177810161191944e-18j)
10,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,(-1.2767871163020999e-291-1.692851955944297e-291j),-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.04184594290174612-0.0017362769451518822j),(-0.06312995117802832+0.003074818660997441j),(6.450060863171884e-06-2.299404400972235e-06j),(-4.189729854707366e-30-2.1674640216196835e-30j),(-1.3106816107757807e-30-5.781635578478956e-31j),(3.2087713920834076e-35+1.8991209539882854e-35j)
11,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,(-1.4278672042788701e-291-1.989130705138333e-291j),-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(-0.10087302198630782-0.0017390969449059893j),(0.026180052866082448-0.0028008911676781108j),(6.4500608631668734e-06-2.2994044009745845e-06j),(2.019910272310444e-30+4.8871619926150805e-30j),(6.802458701299427e-31-2.2171488483717325e-32j),(-2.678005127229465e-37-1.155042442664027e-35j)
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,(-2.806471774257205e-290-3.525853554736534e-290j),0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.0590412189320325+0.003481599405896381j),(0.0371553013997708-0.00024381575920709962j),(6.450060863164372e-06-2.2994044009746777e-06j),(-4.878454242800564e-31+1.4412279764751722e-30j),(1.9854603283890537e-31+2.538990344439394e-31j),(-2.2406439546857122e-35-3.086120382692012e-35j)
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,(4.0049594856207335e-290+5.310407224869748e-290j),0j,0j,-0j,-0j,(-1.1789569186760917e-291-1.4747543587160048e-291j),(-1.2046992184153354e-291-1.485625582063869e-291j),(-1.1742576701169293e-291-1.4638790261263839e-291j),(-0.027336365646803383+0.004402637322474406j),(0.2429657550301853+1.3877787807814457e-17j),(0.015974974718604554-0.008315024751663996j),(-3.844140931770844e-15-5.1131880308391675e-15j),(-1.1499730904244157e-16+2.578774039222306e-15j),(-7.670978491906135e-19+3.177810161191944e-18j)
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,(4.7742541153821496e-290+6.651300894972972e-290j),0j,-0j,-0j,(2.2903473982641277e-292+5.095659458679033e-292j),(5.169695934204973e-291+3.6256187348255196e-291j),(-1.111729813897142e-291-1.1169497597530632e-291j),(0.22832336648134305+0j),(-0.14325657087880214+0.009330283031322481j),(0.015974974715057426-0.00831502474954211j),(-7.812853139866601e-15-9.564914054257193e-15j),(-1.6319027918148016e-15+7.015989812303731e-16j),(6.402886483472473e-19-1.490216254651021e-18j)
15,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.04184594290174612-0.0017362769451518822j),(-0.06312995117802832+0.003074818660997441j),(6.4500608631718065e-06-2.2994044009723056e-06j),(-3.991850541987735e-30-2.3178722562691215e-30j),(-1.290511353650755e-30-5.738138525817553e-31j),(3.256259182425324e-35+2.4136235806761647e-35j)
16,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,(9.13397085243802e-290+1.1481413981022684e-289j),-0j,-0j,0j,0j,(-0+0j),(-0.10087302198630786-0.00173909694490601j),(0.026180052866082458-0.002800891167678091j),(6.450060863166768e-06-2.299404400973443e-06j),(2.246058058275736e-30+4.715266867301436e-30j),(7.894114639364648e-31+2.5466923914571225e-31j),(-1.6074218521430397e-35-1.8473516063142297e-35j)
17,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,(-3.956840340287586e-289-2.988081578736397e-289j),-0j,0j,0j,(-0+0j),(0.0590412189320325+0.003481599405896381j),(0.0371553013997708-0.00024381575920709962j),(6.450060863164372e-06-2.2994044009746777e-06j),(-4.878454242800564e-31+1.4412279764751722e-30j),(1.9854603283890537e-31+2.538990344439394e-31j),(-2.2406439546857122e-35-3.086120382692012e-35j)
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,(-4.520516095047955e-289-4.259255029766788e-289j),(-1.1789569186760917e-291-1.4747543587160048e-291j),(-1.2046992184153354e-291-1.485625582063869e-291j),(-1.1742576701169293e-291-1.4638790261263839e-291j),(-0.027336365646803383+0.004402637322474406j),(0.2429657550301853+1.3877787807814457e-17j),(0.015974974718604554-0.008315024751663996j),(-3.844140931770844e-15-5.1131880308391675e-15j),(-1.1499730904244157e-16+2.578774039222306e-15j),(-7.670978491906135e-19+3.177810161191944e-18j)
19,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,(2.290347398264127e-292+5.095659458679033e-292j),(5.169695934204973e-291+3.6256187348255196e-291j),(-1.1117298138971423e-291-1.1169497597530632e-291j),(0.22832336648134305+0j),(-0.1432565708788022+0.009330283031322474j),(0.015974974715057426-0.008315024749542113j),(-7.812853139866603e-15-9.564914054257193e-15j),(-1.631902791814802e-15+7.015989812303726e-16j),(6.402886483472473e-19-1.490216254651021e-18j)
20,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,(2.2595272682444808e-292+3.8452584900661074e-292j),(-1.0021865921259876e-291-7.998603563533856e-292j),(5.814290096577544e-291+4.918856818279652e-291j),(-0.20101923930399557-0.004416172801790755j),(-0.10082134967088677-0.009540836088365166j),(0.01597497470653747-0.008315024744437698j),(-8.114932573761046e-15-1.0979438693469121e-14j),(-1.3958567696536176e-15+2.22486246668033e-15j),(1.24217296951263e-18-2.0081803612444174e-18j)
21,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.04184594290174612-0.0017362769451518822j),(-0.06312995117802832+0.003074818660997441j),(6.4500608631718065e-06-2.2994044009723056e-06j),(-3.991850541987735e-30-2.3178722562691215e-30j),(-1.290511353650755e-30-5.738138525817553e-31j),(3.256259182425324e-35+2.4136235806761647e-35j)
22,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(-0.10087302198630782-0.0017390969449059893j),(0.026180052866082448-0.0028008911676781108j),(6.450060863166722e-06-2.2994044009747272e-06j),(1.590172459026335e-30+4.321792527701848e-30j),(6.802458701299427e-31-2.2171488483717325e-32j),(-9.497558068383384e-37-1.0290052533757598e-35j)
23,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,0j,0j,(-0+0j),(0.05904121893203255+0.003481599405896374j),(0.03715530139977079-0.00024381575920706666j),(6.450060863167319e-06-2.299404400974455e-06j),(-2.042182931206658e-30+4.8184873797121535e-31j),(-2.3095734125844903e-31+2.879264718712884e-31j),(1.0375683680400374e-35-4.3266799139403286e-35j)
24,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0j,-0j,-0j,-0j,0j,0j,0j,-0j,-0j,(-1.1789569186760917e-291-1.4747543587160048e-291j),(-1.2046992184153354e-291-1.4856255820638693e-291j),(-1.1742576701169293e-291-1.463879026126384e-291j),(-0.027336365646803376+0.004402637322474399j),(0.2429657550301853-2.7755575615628914e-17j),(0.015974974718604554-0.008315024751663996j),(-3.844140931770843e-15-5.113188030839167e-15j),(-1.1499730904244157e-16+2.578774039222306e-15j),(-7.670978491906128e-19+3.1778101611919446e-18j)
