,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
0,(0.004591906685335532-1.3221297823024278j),(-0.0022848269200410236+0.6594510026740386j),(-0.002284826920041023+0.6594510026740386j),(-0.003593652910440624+1.7375311821980353j),(0.003593652910440624-1.7375311821980353j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,(-0.0022848269200410236+0.6594510026740386j),(0.0045919066853355485-1.3221297823024278j),(-0.0022848269200410392+0.6594510026740386j),0j,(-0.003593652910440624+1.7375311821980353j),(0.003593652910440624-1.7375311821980353j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,(-0.002284826920041023+0.6594510026740386j),(-0.0022848269200410392+0.6594510026740386j),(0.0045919066853355485-1.3221297823024278j),(0.003593652910440624-1.7375311821980353j),0j,(-0.003593652910440624+1.7375311821980353j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3,(-0.003593652910440624+1.7375311821980353j),0j,(0.003593652910440624-1.7375311821980353j),(0.019730029246321244-8.383397661409944j),(0.0008004962160804507+0.012097831144498729j),(0.0011192925518997377+0.008469193040043753j),(-0.002481721199336741+0.04390372025042985j),(-0.0008004962160804507-0.012115919634620468j),(-0.0011192925518997377-0.008480938214554222j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4,(0.003593652910440624-1.7375311821980353j),(-0.003593652910440624+1.7375311821980353j),0j,(0.0008004962160804507+0.012097831144498729j),(0.019707383824055697-8.381691315090531j),(0.0012989561585959523+0.006010438128620057j),(-0.0008004962160804507-0.012115919634620468j),(-0.0024590757770711924+0.04219457318590689j),(-0.0012989561585959523-0.006017776057210934j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5,0j,(0.003593652910440624-1.7375311821980353j),(-0.003593652910440624+1.7375311821980353j),(0.0011192925518997377+0.008469193040043753j),(0.0012989561585959523+0.006010438128620057j),(0.019881319694877577-8.380315802354865j),(-0.0011192925518997377-0.008480938214554222j),(-0.0012989561585959523-0.006017776057210934j),(-0.0026330116478930745+0.040816581005278456j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6,0j,0j,0j,(-0.002481721199336741+0.04390372025042985j),(-0.0008004962160804507-0.012115919634620468j),(-0.0011192925518997377-0.008480938214554222j),(0.006182785184474773-0.10927335540489874j),(0.001994299821564591+0.030154530166276384j),(0.0027885265310334507+0.021109190575233597j),(-0.003701063985138032+0.0654749122809879j),(-0.00119380360548414-0.018068828125618976j),(-0.001669233979133713-0.012647873175462369j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,(-0.0008004962160804507-0.012115919634620468j),(-0.0024590757770711924+0.04219457318590689j),(-0.0012989561585959523-0.006017776057210934j),(0.001994299821564591+0.030154530166276384j),(0.006162735308605177-0.10502223419352905j),(0.003236127770837314+0.014980004571407888j),(-0.00119380360548414-0.018068828125618976j),(-0.003667292199331605+0.0629260108784045j),(-0.0019371716122413615-0.008974486836765433j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,(-0.0011192925518997377-0.008480938214554222j),(-0.0012989561585959523-0.006017776057210934j),(-0.0026330116478930745+0.040816581005278456j),(0.0027885265310334507+0.021109190575233597j),(0.003236127770837314+0.014980004571407888j),(0.006589995191547108-0.10159291062035465j),(-0.001669233979133713-0.012647873175462369j),(-0.0019371716122413615-0.008974486836765433j),(-0.003926687891077533+0.06087097051654242j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(-0.003701063985138032+0.0654749122809879j),(-0.00119380360548414-0.018068828125618976j),(-0.001669233979133713-0.012647873175462369j),(0.0038997248816409424-0.06815987405825279j),(0.001257883041955985+0.018800608159774503j),(0.0017588329485380358+0.013172169979661304j),(-0.00019866089650291018+0.0035144771407418255j),(-6.407943647184484e-05-0.0009698750436649337j),(-8.959896940432284e-05-0.0006788960779878964j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
