,local,magnitude
matriz_diagonal_real_y_caso1_frequencia_100.0.csv,"('890.3',)",5153.187473205309
matriz_diagonal_real_y_caso1_frequencia_100.5.csv,"('890.3',)",5180.846550746352
matriz_diagonal_real_y_caso1_frequencia_1000.0.csv,"('864.1',)",26842.7623300505
matriz_diagonal_real_y_caso1_frequencia_1000.5.csv,"('864.1',)",26847.38999860553
matriz_diagonal_real_y_caso1_frequencia_1001.0.csv,"('890.1',)",26852.0157224796
matriz_diagonal_real_y_caso1_frequencia_1001.5.csv,"('838.2',)",26856.63950566901
matriz_diagonal_real_y_caso1_frequencia_1002.0.csv,"('890.1',)",26861.261351744095
matriz_diagonal_real_y_caso1_frequencia_1002.5.csv,"('890.1',)",26865.881264758256
matriz_diagonal_real_y_caso1_frequencia_1003.0.csv,"('838.2',)",26870.499248469223
matriz_diagonal_real_y_caso1_frequencia_1003.5.csv,"('838.2',)",26875.1153066326
matriz_diagonal_real_y_caso1_frequencia_1004.0.csv,"('838.2',)",26879.72944323111
matriz_diagonal_real_y_caso1_frequencia_1004.5.csv,"('890.3',)",26884.34166196979
matriz_diagonal_real_y_caso1_frequencia_1005.0.csv,"('890.1',)",26888.951966817374
matriz_diagonal_real_y_caso1_frequencia_1005.5.csv,"('852.2',)",26893.560361226268
matriz_diagonal_real_y_caso1_frequencia_1006.0.csv,"('890.2',)",26898.166849372174
matriz_diagonal_real_y_caso1_frequencia_1006.5.csv,"('838.2',)",26902.77143496838
matriz_diagonal_real_y_caso1_frequencia_1007.0.csv,"('890.2',)",26907.374121697914
matriz_diagonal_real_y_caso1_frequencia_1007.5.csv,"('890.2',)",26911.974913281058
matriz_diagonal_real_y_caso1_frequencia_1008.0.csv,"('864.1',)",26916.573813896724
matriz_diagonal_real_y_caso1_frequencia_1008.5.csv,"('890.2',)",26921.170826808873
matriz_diagonal_real_y_caso1_frequencia_1009.0.csv,"('890.1',)",26925.7659561855
matriz_diagonal_real_y_caso1_frequencia_1009.5.csv,"('890.2',)",26930.359205657365
matriz_diagonal_real_y_caso1_frequencia_101.0.csv,"('890.3',)",5208.520197014353
matriz_diagonal_real_y_caso1_frequencia_101.5.csv,"('838.2',)",5236.207891298036
matriz_diagonal_real_y_caso1_frequencia_1010.0.csv,"('864.1',)",26934.950579085926
matriz_diagonal_real_y_caso1_frequencia_1010.5.csv,"('890.3',)",26939.54008000693
matriz_diagonal_real_y_caso1_frequencia_1011.0.csv,"('838.2',)",26944.12771247024
matriz_diagonal_real_y_caso1_frequencia_1011.5.csv,"('864.1',)",26948.713480032675
matriz_diagonal_real_y_caso1_frequencia_1012.0.csv,"('890.1',)",26953.2973864851
matriz_diagonal_real_y_caso1_frequencia_1012.5.csv,"('890.2',)",26957.87943564881
matriz_diagonal_real_y_caso1_frequencia_1013.0.csv,"('890.1',)",26962.459631301306
matriz_diagonal_real_y_caso1_frequencia_1013.5.csv,"('852.3',)",26967.037977032596
matriz_diagonal_real_y_caso1_frequencia_1014.0.csv,"('890.1',)",26971.614476779356
matriz_diagonal_real_y_caso1_frequencia_1014.5.csv,"('890.1',)",26976.189134000077
matriz_diagonal_real_y_caso1_frequencia_1015.0.csv,"('890.2',)",26980.761952662495
matriz_diagonal_real_y_caso1_frequencia_1015.5.csv,"('890.1',)",26985.332936452232
matriz_diagonal_real_y_caso1_frequencia_1016.0.csv,"('890.2',)",26989.902089190728
matriz_diagonal_real_y_caso1_frequencia_1016.5.csv,"('890.1',)",26994.46941423249
matriz_diagonal_real_y_caso1_frequencia_1017.0.csv,"('864.1',)",26999.0349156748
matriz_diagonal_real_y_caso1_frequencia_1017.5.csv,"('890.1',)",27003.59859704996
matriz_diagonal_real_y_caso1_frequencia_1018.0.csv,"('838.2',)",27008.160462010866
matriz_diagonal_real_y_caso1_frequencia_1018.5.csv,"('890.2',)",27012.72051447721
matriz_diagonal_real_y_caso1_frequencia_1019.0.csv,"('864.1',)",27017.278757925404
matriz_diagonal_real_y_caso1_frequencia_1019.5.csv,"('852.3',)",27021.83519624867
matriz_diagonal_real_y_caso1_frequencia_102.0.csv,"('838.2',)",5263.909117225011
matriz_diagonal_real_y_caso1_frequencia_102.5.csv,"('852.2',)",5291.6233627969405
matriz_diagonal_real_y_caso1_frequencia_1020.0.csv,"('838.2',)",27026.389832907418
matriz_diagonal_real_y_caso1_frequencia_1020.5.csv,"('864.1',)",27030.942671830122
