,autovalores
"('sourcebus.1',)",0.3036580916756428
"('sourcebus.2',)",0.3264626799052826
"('sourcebus.3',)",0.44730833440215323
"('800.1',)",0.3060223142311882
"('800.2',)",0.3289894586930416
"('800.3',)",0.4507957534237607
"('802.1',)",7.493294219143307
"('802.2',)",7.748566757799706
"('802.3',)",8.330981012046411
"('806.1',)",8.106872499384515
"('806.2',)",11.96155677717974
"('806.3',)",12.647032992443659
"('808.1',)",18.674688699932375
"('808.2',)",19.05525610995094
"('808.3',)",11.033719648385336
"('810.2',)",11.413967555394578
"('812.1',)",19.62861219017085
"('812.2',)",15.708957613137091
"('812.3',)",17.9827153696758
"('814.1',)",16.95225450490976
"('814.2',)",15.579152466787562
"('814.3',)",16.756887955119893
"('814r.1',)",23.42407288389889
"('814r.2',)",23.133275132803796
"('814r.3',)",26.835801782209852
"('850.1',)",22.946419402984613
"('850.2',)",41.3154340879862
"('850.3',)",34.710638200382135
"('816.1',)",37.40362031782285
"('816.2',)",36.29394862342911
"('816.3',)",40.22487810419392
"('818.1',)",41.20849966396321
"('824.1',)",44.71082677543923
"('824.2',)",66.35215914428456
"('824.3',)",53.39407218066875
"('820.1',)",60.41486158974623
"('822.1',)",71.32353272903983
"('826.2',)",88.52855134541764
"('828.1',)",98.04367665946057
"('828.2',)",105.89808988185554
"('828.3',)",67.8575020969952
"('830.1',)",70.56843268341292
"('830.2',)",73.10029187869753
"('830.3',)",72.27236198998003
"('854.1',)",99.26767891680578
"('854.2',)",116.02345129623309
"('854.3',)",144.84611811792945
"('832.1',)",120.29419640203311
"('832.2',)",141.9302045170074
"('832.3',)",150.7501958207951
"('858.1',)",168.1301605149397
"('858.2',)",171.072594273263
"('858.3',)",177.71312012042264
"('834.1',)",194.55351841047505
"('834.2',)",196.56443558066456
"('834.3',)",210.39810413683995
"('860.1',)",236.98579563396058
"('860.2',)",270.55356151222173
"('860.3',)",276.39094878551845
"('842.1',)",330.2594802490141
"('842.2',)",318.7519835333972
"('842.3',)",345.4428945237839
"('836.1',)",402.96572070652405
"('836.2',)",553.968626465702
"('836.3',)",623.0300493180744
"('840.1',)",654.4915666108616
"('840.2',)",724.0176948737247
"('840.3',)",753.4951574469385
"('862.1',)",779.2758211819224
"('862.2',)",777.9408006401533
"('862.3',)",840.3712823417941
"('844.1',)",824.8691266656826
"('844.2',)",975.2763676969115
"('844.3',)",1103.1061030711485
"('846.1',)",1232.7427503788876
"('846.2',)",1466.6632056946933
"('846.3',)",1684.616794161047
"('848.1',)",1166.8626749354632
"('848.2',)",1967.1589358721835
"('848.3',)",2225.5557899437076
"('852r.1',)",2564.7860460265642
"('852r.2',)",5557.013837404155
"('852r.3',)",35325.08028228504
"('888.1',)",18236.989642815926
"('888.2',)",3505.6120190483216
"('888.3',)",31478.08640207111
"('856.2',)",1857.9995601092478
"('852.1',)",3589.1412088151988
"('852.2',)",24104.934994551873
"('852.3',)",11272.937658236406
"('864.1',)",2818.676083388856
"('838.2',)",1406.9119466260063
"('890.1',)",12738.853201726612
"('890.2',)",13265.841877100846
"('890.3',)",6058.170243251428
