,autovalores
"('sourcebus.1',)",0.4410289257215323
"('sourcebus.2',)",0.6146400159796152
"('sourcebus.3',)",0.8699041246735287
"('800.1',)",0.4444552144753253
"('800.2',)",0.6194033785176194
"('800.3',)",0.8766868064711738
"('802.1',)",10.912902279287648
"('802.2',)",11.253912071439952
"('802.3',)",17.682109688793755
"('806.1',)",15.19130040784704
"('806.2',)",15.677836035004365
"('806.3',)",22.97833184129198
"('808.1',)",22.85458339974192
"('808.2',)",34.51517729740829
"('808.3',)",36.66550021290412
"('810.2',)",37.56146645351179
"('812.1',)",21.429610785647288
"('812.2',)",22.1872353850942
"('812.3',)",22.627661246484795
"('814.1',)",31.822354780627403
"('814.2',)",34.93732252014416
"('814.3',)",35.029082274455185
"('814r.1',)",31.51962609367397
"('814r.2',)",58.737360345574736
"('814r.3',)",48.41794061209981
"('850.1',)",44.95200056748052
"('850.2',)",44.580579910778695
"('850.3',)",53.38276166473863
"('816.1',)",66.81312256224693
"('816.2',)",58.510714085455355
"('816.3',)",60.83401222309132
"('818.1',)",83.02089344777546
"('824.1',)",74.00965107954289
"('824.2',)",74.52601082770748
"('824.3',)",73.6475512752326
"('820.1',)",129.80324644131818
"('822.1',)",114.7848908323664
"('826.2',)",98.44535521633748
"('828.1',)",103.03309380593166
"('828.2',)",173.10551800224167
"('828.3',)",116.13027638141558
"('830.1',)",135.54213331799522
"('830.2',)",226.23375432160245
"('830.3',)",207.16509768331755
"('854.1',)",192.20924819795408
"('854.2',)",186.22967530208695
"('854.3',)",189.68512440827394
"('832.1',)",190.6586257012389
"('832.2',)",274.0174735307061
"('832.3',)",312.55762786755054
"('858.1',)",288.16237126745096
"('858.2',)",291.94493260615104
"('858.3',)",327.57312646183163
"('834.1',)",347.3035749182753
"('834.2',)",372.2768791076441
"('834.3',)",472.7005425768198
"('860.1',)",370.58705706083936
"('860.2',)",381.63654422427317
"('860.3',)",416.5234106796428
"('842.1',)",483.0280847590943
"('842.2',)",453.02243268165006
"('842.3',)",641.0943503941375
"('836.1',)",739.70105655442
"('836.2',)",886.3658294888501
"('836.3',)",1020.0176894487629
"('840.1',)",1083.3690828499605
"('840.2',)",1139.1928794759829
"('840.3',)",1171.06301305462
"('862.1',)",1400.795187891872
"('862.2',)",1441.560671554194
"('862.3',)",1551.284967102492
"('844.1',)",1478.7345492988084
"('844.2',)",1936.719733050294
"('844.3',)",1874.2916711067319
"('846.1',)",2070.8278978169315
"('846.2',)",2149.436511309524
"('846.3',)",2339.9670109049903
"('848.1',)",6347.013874815517
"('848.2',)",6702.9553183068965
"('848.3',)",50028.35062800728
"('852r.1',)",2512.2247821924775
"('852r.2',)",2826.9370826935165
"('852r.3',)",4359.955363002735
"('888.1',)",9935.100281501645
"('888.2',)",35764.555612962235
"('888.3',)",30007.890131764456
"('856.2',)",14521.02444986806
"('852.1',)",3772.382032521505
"('852.2',)",3304.0485482821873
"('852.3',)",37222.548253673296
"('864.1',)",3199.444445970323
"('838.2',)",16452.894339263334
"('890.1',)",3911.7969880207643
"('890.2',)",11620.735003831902
"('890.3',)",16269.911430745287
