,autovalores
"('852r.1',)",45946.812053847694
"('888.1',)",35784.0076327925
"('888.2',)",30655.064883386633
"('852.3',)",28520.38731517385
"('838.2',)",15593.303832286538
"('890.3',)",15516.648245859325
"('852.2',)",13817.952625628184
"('890.2',)",10013.760465082738
"('852r.3',)",8722.499273074383
"('848.2',)",5788.418350073014
"('848.3',)",5567.107133109475
"('852r.2',)",3856.7473347109067
"('852.1',)",3554.0806719912134
"('864.1',)",3316.3204708163425
"('856.2',)",2998.4272213459335
"('890.1',)",2851.6021885486216
"('888.3',)",2478.0501527664624
"('848.1',)",2276.543470117241
"('846.2',)",2022.5662914067154
"('846.3',)",1916.4475892787268
"('846.1',)",1828.0792048077521
"('844.3',)",1732.625038058816
"('844.2',)",1612.3511989514216
"('844.1',)",1347.1926361317396
"('862.3',)",1274.3264887969278
"('862.1',)",1244.1688112723923
"('862.2',)",1214.4344189556364
"('840.3',)",1087.1983804267581
"('840.2',)",1025.7979710832224
"('840.1',)",949.1431080167171
"('836.3',)",916.1395044533906
"('836.2',)",820.613597643973
"('836.1',)",642.0208879606892
"('842.3',)",556.1627589741836
"('860.2',)",440.6072880346447
"('834.3',)",435.2668854592374
"('842.2',)",395.870649679774
"('860.3',)",368.32557286613013
"('842.1',)",355.056488104823
"('860.1',)",325.3996497514375
"('834.2',)",320.58608400430825
"('858.3',)",297.7363122028285
"('834.1',)",292.78120039803184
"('832.3',)",271.7248461503956
"('858.2',)",259.00881256387663
"('858.1',)",249.97466885642743
"('832.2',)",235.48656147715468
"('854.1',)",204.78953191196774
"('830.3',)",177.6828989414645
"('832.1',)",172.8738478030476
"('854.2',)",167.30253544184498
"('830.2',)",164.7643425616236
"('854.3',)",163.612048283336
"('828.1',)",148.47604994564077
"('830.1',)",116.80000457417282
"('824.2',)",111.3149126929179
"('824.3',)",103.08666480338236
"('828.2',)",99.99408363669026
"('828.3',)",91.40987836134956
"('826.2',)",88.5761821684149
"('822.1',)",74.1326905012201
"('820.1',)",73.10898590140333
"('824.1',)",71.50907037756241
"('818.1',)",63.77386789860702
"('816.2',)",57.531266689971666
"('816.3',)",55.82187911432515
"('814r.2',)",54.079984524153275
"('816.1',)",53.3349379978619
"('850.3',)",49.43328159536385
"('814r.3',)",41.8686173363904
"('850.1',)",38.58583026113594
"('850.2',)",38.267401693477794
"('814.3',)",32.30372164671023
"('814.1',)",32.217204149630454
"('808.3',)",31.439898079909
"('808.2',)",30.42399282390109
"('814.2',)",30.04624965193244
"('812.3',)",27.331226882944026
"('814r.1',)",27.066052956455728
"('808.1',)",21.18532922559348
"('812.2',)",20.978008301605414
"('806.3',)",19.821212324016933
"('812.1',)",19.04221557515878
"('810.2',)",18.397709847703076
"('802.3',)",16.39129994880578
"('806.1',)",13.46122874661324
"('806.2',)",13.050497169925864
"('802.2',)",10.433263928539459
"('802.1',)",10.115104886669439
"('800.3',)",0.7523157254221104
"('sourcebus.3',)",0.7464954249483793
"('800.2',)",0.5317820856833407
"('sourcebus.2',)",0.5276931689495927
"('800.1',)",0.4120318812602352
"('sourcebus.1',)",0.4088543422111186
